0.0 	325.4 	162.5 	94.1 	98.2 	173.7 	227.3 	248.4 	286.2 	443.7 	568.3 	715.6 	428.7 	317.3 
547.7 	519.6 	396.8 	568.6 	605.2 	605.7 	393.6 	629.5 	618.6 	107.8 	215.5 	253.0 	626.1 	606.5 
446.0 	422.7 	295.1 	466.8 	503.7 	504.2 	292.1 	528.0 	517.2 	0.0 	192.2 	275.0 	592.4 	571.0 
568.6 	289.3 	418.2 	592.0 	526.9 	507.3 	344.0 	440.2 	393.9 	342.2 	177.3 	325.6 	886.7 	795.0 
570.3 	387.8 	419.4 	592.1 	564.0 	548.5 	368.1 	538.8 	492.4 	192.3 	0.0 	172.0 	778.1 	756.6 
649.9 	641.1 	515.4 	651.6 	723.8 	724.3 	512.1 	748.1 	737.2 	226.4 	343.0 	362.8 	630.9 	611.3 
378.6 	534.5 	263.1 	366.3 	473.0 	546.4 	336.0 	570.3 	576.8 	185.2 	370.8 	445.9 	409.2 	387.0 
659.4 	501.4 	508.5 	680.3 	677.6 	662.1 	481.7 	652.4 	606.0 	216.8 	117.8 	61.8 	794.5 	774.0 
582.5 	826.7 	549.2 	495.4 	675.6 	751.1 	629.1 	825.8 	863.6 	513.2 	698.7 	769.2 	264.2 	290.3 
451.8 	691.7 	414.1 	364.6 	544.8 	620.3 	494.1 	695.0 	732.8 	380.7 	566.2 	640.7 	211.6 	214.4 
447.1 	613.2 	335.7 	375.3 	541.4 	616.9 	415.6 	642.9 	655.5 	300.7 	486.3 	560.7 	295.1 	275.3 
316.5 	641.0 	404.4 	225.4 	409.6 	485.1 	474.2 	559.8 	597.6 	571.0 	756.5 	831.5 	120.0 	0.0 
652.0 	959.2 	681.7 	560.9 	745.0 	820.5 	761.6 	895.2 	933.0 	689.3 	874.9 	949.3 	247.3 	343.4 
